id,sentiment,positive,negative,neutral
255,Positive,2,0,1
256,Positive,1,0,0
257,Neutral,0,0,1
258,Neutral,0,0,1
259,Neutral,0,0,2
260,Positive,1,0,2
261,Neutral,0,0,2
262,Negative,0,1,1
263,Negative,0,1,2
264,Neutral,0,0,1
265,Neutral,0,0,1
266,Negative,0,1,0
267,Positive,1,0,0
268,Neutral,0,0,2
269,Negative,0,2,0
270,Positive,2,0,1
271,Positive,1,0,0
272,Neutral,0,0,1
273,Positive,1,0,0
274,Neutral,0,0,2
275,Neutral,0,0,1
276,Neutral,0,0,1
277,Neutral,0,0,1
278,Neutral,0,0,1
279,Neutral,0,0,1
280,Neutral,0,0,1
281,Neutral,0,0,1
282,Neutral,0,0,1
283,Neutral,0,0,1
284,Neutral,0,0,1
285,Neutral,0,0,1
286,Neutral,0,0,1
287,Neutral,0,0,1
288,Neutral,0,0,1
289,Neutral,0,0,1
290,Neutral,0,0,1
291,Neutral,0,0,1
292,Neutral,0,0,1
293,Neutral,0,0,1
294,Neutral,0,0,1
295,Neutral,0,0,1
296,Neutral,0,0,1
297,Neutral,0,0,1
298,Neutral,0,0,2
299,Neutral,0,0,1
300,Neutral,0,0,1
301,Neutral,0,0,1
302,Neutral,0,0,1
303,Neutral,0,0,2
304,Neutral,0,0,2
305,Neutral,0,0,1
306,Neutral,0,0,1
307,Neutral,0,0,1
308,Neutral,0,0,1
309,Neutral,0,0,1
310,Neutral,0,0,2
311,Neutral,0,0,1
312,Neutral,0,0,1
313,Neutral,0,0,1
314,Neutral,0,0,1
315,Neutral,0,0,1
316,Positive,1,0,1
317,Neutral,0,0,1
318,Neutral,0,0,1
319,Neutral,0,0,1
320,Neutral,0,0,1
321,Neutral,0,0,1
322,Neutral,0,0,1
323,Negative,0,1,2
324,Neutral,0,0,1
325,Neutral,0,0,1
326,Neutral,0,0,1
327,Neutral,0,0,1
328,Neutral,0,0,4
329,Neutral,0,0,1
330,Neutral,0,0,1
331,Neutral,0,0,1
332,Neutral,0,0,1
333,Negative,0,1,2
334,Negative,0,1,3
335,Negative,0,1,0
336,Neutral,0,0,1
337,Neutral,0,0,1
338,Positive,1,0,1
339,Mixed,1,1,1
340,Positive,1,0,1
341,Neutral,0,0,1
342,Positive,2,0,0
343,Negative,0,1,1
344,Positive,1,0,1
345,Mixed,1,3,2
346,Mixed,1,1,1
347,Negative,0,2,0
348,Mixed,1,1,0
349,Positive,1,0,1
